NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE
AT1;AT13;AT130;91200;.;995.810.027;588.434.967;407.375.059;17.926;19.705;15.933;25.263;27.142;22.787;20071231
AT1;AT13;AT130;91300;.;853.690.840;540.643.667;313.047.173;26.946;33.693;20.356;37.175;44.095;28.700;20071231
AT1;AT13;AT130;91400;.;1.151.891.742;686.124.742;465.767.000;20.966;24.002;17.806;28.742;31.833;24.869;20071231
AT1;AT13;AT130;91500;.;740.478.387;434.973.812;305.504.575;15.800;16.995;14.413;23.157;24.540;21.319;20071231
AT1;AT13;AT130;91600;.;1.095.592.531;638.754.163;456.838.367;17.612;19.144;15.903;25.117;26.903;22.829;20071231
AT1;AT13;AT130;91700;.;657.155.869;391.918.087;265.237.782;18.879;21.219;16.345;27.731;30.694;23.967;20071231
AT1;AT13;AT130;91800;.;754.922.668;469.045.189;285.877.479;23.280;28.603;18.107;34.507;40.471;27.422;20071231
AT1;AT13;AT130;91900;.;1.004.936.960;636.973.876;367.963.084;24.683;30.390;18.941;35.447;41.388;28.051;20071231
AT1;AT13;AT130;92000;.;850.636.474;503.972.714;346.663.761;16.650;17.982;15.086;23.803;25.236;21.860;20071231
AT1;AT13;AT130;92100;.;1.740.717.411;1.044.022.588;696.694.823;19.212;21.753;16.473;25.776;27.969;22.757;20071231
AT1;AT13;AT130;92200;.;2.137.264.088;1.302.943.416;834.320.672;20.599;23.915;17.092;27.125;29.792;23.355;20071231
AT1;AT13;AT130;92300;.;1.356.687.126;834.953.470;521.733.656;22.379;26.600;18.046;29.586;33.418;24.477;20071231
AT1;AT13;AT130;90100;.;334.719.126;217.764.204;116.954.922;31.213;38.870;23.253;47.085;55.920;36.450;20081231
AT1;AT13;AT130;90200;.;1.125.428.256;672.995.339;452.432.917;18.481;20.406;16.286;27.165;29.255;24.316;20081231
AT1;AT13;AT130;90300;.;1.233.293.150;731.149.554;502.143.596;21.410;24.565;18.171;30.883;34.378;26.575;20081231
AT1;AT13;AT130;90400;.;497.538.537;297.351.540;200.186.998;23.552;27.510;19.557;35.067;39.608;29.616;20081231
AT1;AT13;AT130;90500;.;669.614.425;386.583.328;283.031.098;18.203;19.792;16.462;27.067;28.943;24.700;20081231
AT1;AT13;AT130;90600;.;468.674.488;273.405.090;195.269.398;21.462;24.269;18.572;31.850;35.460;27.540;20081231
AT1;AT13;AT130;90700;.;506.038.244;287.834.926;218.203.318;21.804;25.086;18.703;32.710;36.169;28.804;20081231
AT1;AT13;AT130;90800;.;404.071.689;234.589.611;169.482.078;22.995;27.092;19.155;34.628;38.785;29.974;20081231
AT1;AT13;AT130;90900;.;632.466.925;370.620.062;261.846.863;21.702;25.390;18.147;33.347;37.527;28.556;20081231
AT1;AT13;AT130;91000;.;2.013.151.157;1.210.815.085;802.336.073;17.891;19.717;15.777;24.814;26.454;22.463;20081231
AT1;AT13;AT130;91100;.;1.099.174.922;666.296.065;432.878.857;18.387;20.534;15.932;24.709;26.367;22.262;20081231
AT1;AT13;AT130;91200;.;1.060.917.227;628.456.773;432.460.453;18.312;20.190;16.209;26.052;27.826;23.625;20081231
AT1;AT13;AT130;91300;.;882.521.206;553.535.386;328.985.820;27.141;33.790;20.709;37.714;44.124;29.616;20081231
AT1;AT13;AT130;91400;.;1.201.103.532;707.949.324;493.154.207;21.424;24.470;18.306;29.612;32.454;25.930;20081231
AT1;AT13;AT130;91500;.;780.521.905;455.477.895;325.044.010;16.157;17.383;14.754;23.897;25.119;22.223;20081231
AT1;AT13;AT130;91600;.;1.147.531.610;670.585.234;476.946.376;18.027;19.657;16.213;25.941;27.618;23.704;20081231
AT1;AT13;AT130;91700;.;699.153.723;419.506.750;279.646.972;19.463;21.954;16.748;28.867;31.916;24.926;20081231
AT1;AT13;AT130;91800;.;770.960.480;470.251.392;300.709.088;23.592;28.593;18.763;34.877;40.039;28.509;20081231
AT1;AT13;AT130;91900;.;1.058.217.328;672.473.083;385.744.245;25.329;31.232;19.349;36.877;43.130;28.821;20081231
AT1;AT13;AT130;92000;.;891.045.632;526.085.621;364.960.011;17.035;18.418;15.427;24.459;25.816;22.584;20081231
AT1;AT13;AT130;92100;.;1.826.918.707;1.093.357.366;733.561.341;19.578;22.173;16.789;26.552;28.721;23.488;20081231
AT1;AT13;AT130;92200;.;2.273.130.160;1.381.015.257;892.114.903;21.222;24.632;17.636;27.986;30.563;24.281;20081231
AT1;AT13;AT130;92300;.;1.405.102.862;860.494.642;544.608.220;22.899;27.182;18.542;30.505;34.218;25.464;20081231
AT1;AT13;AT130;90100;.;337.318.585;221.812.836;115.505.749;32.264;40.505;23.665;50.015;59.822;37.941;20091231
AT1;AT13;AT130;90200;.;1.126.424.196;661.374.170;465.050.026;19.023;20.700;17.125;28.410;30.350;25.834;20091231
AT1;AT13;AT130;90300;.;1.244.894.423;730.904.132;513.990.291;22.075;25.329;18.795;32.226;35.779;27.896;20091231
AT1;AT13;AT130;90400;.;498.744.412;295.172.747;203.571.665;24.303;28.139;20.444;36.504;40.619;31.575;20091231
AT1;AT13;AT130;90500;.;678.912.242;390.833.095;288.079.147;18.810;20.443;17.027;28.284;30.129;25.932;20091231
AT1;AT13;AT130;90600;.;462.220.613;267.760.020;194.460.593;21.954;24.614;19.203;33.180;36.650;29.094;20091231
AT1;AT13;AT130;90700;.;516.320.526;290.166.048;226.154.478;22.700;25.665;19.874;34.272;37.494;30.650;20091231
AT1;AT13;AT130;90800;.;403.491.573;233.223.334;170.268.239;23.676;27.475;20.037;36.436;40.758;31.474;20091231
AT1;AT13;AT130;90900;.;631.034.371;363.808.501;267.225.870;22.448;25.874;19.150;35.008;38.942;30.517;20091231
AT1;AT13;AT130;91000;.;1.995.127.654;1.184.289.198;810.838.456;18.342;20.036;16.398;25.785;27.357;23.562;20091231
AT1;AT13;AT130;91100;.;1.134.765.563;680.165.408;454.600.155;18.877;20.837;16.631;25.626;27.204;23.320;20091231
AT1;AT13;AT130;91200;.;1.061.493.562;620.246.522;441.247.040;18.857;20.607;16.917;27.061;28.783;24.736;20091231
AT1;AT13;AT130;91300;.;886.241.281;551.250.579;334.990.702;27.988;34.561;21.612;39.131;45.309;31.365;20091231
AT1;AT13;AT130;91400;.;1.211.816.171;707.848.759;503.967.412;22.079;25.113;19.000;30.961;33.979;27.149;20091231
AT1;AT13;AT130;91500;.;786.028.682;453.605.022;332.423.660;16.680;17.880;15.327;24.979;26.258;23.262;20091231
AT1;AT13;AT130;91600;.;1.152.070.462;666.740.088;485.330.374;18.615;20.112;16.947;27.176;28.935;24.883;20091231
AT1;AT13;AT130;91700;.;711.007.792;422.967.130;288.040.663;20.297;23.015;17.410;29.971;32.670;26.479;20091231
AT1;AT13;AT130;91800;.;762.784.456;457.542.538;305.241.918;23.927;28.553;19.457;36.056;41.063;29.982;20091231
AT1;AT13;AT130;91900;.;1.053.891.808;660.267.256;393.624.552;25.828;31.525;20.106;38.430;44.491;30.743;20091231
AT1;AT13;AT130;92000;.;894.780.246;522.766.025;372.014.221;17.652;19.014;16.089;25.401;26.640;23.691;20091231
AT1;AT13;AT130;92100;.;1.860.993.991;1.102.040.673;758.953.318;20.266;22.749;17.605;27.682;29.837;24.677;20091231
AT1;AT13;AT130;92200;.;2.337.650.248;1.407.182.924;930.467.324;21.782;25.094;18.310;29.173;31.768;25.476;20091231
AT1;AT13;AT130;92300;.;1.412.464.045;855.158.829;557.305.216;23.408;27.464;19.273;31.547;35.030;26.866;20091231
AT1;AT13;AT130;90100;.;332.815.734;219.606.774;113.208.960;33.419;42.167;24.310;52.767;62.858;40.002;20101231
AT1;AT13;AT130;90200;.;1.155.657.937;675.817.826;479.840.112;18.998;20.655;17.136;28.573;30.378;26.127;20101231
AT1;AT13;AT130;90300;.;1.255.672.729;734.456.548;521.216.181;22.166;25.291;19.009;33.076;36.415;28.971;20101231
AT1;AT13;AT130;90400;.;491.190.389;290.740.036;200.450.353;24.069;28.164;20.038;37.297;42.193;31.444;20101231
AT1;AT13;AT130;90500;.;673.229.660;384.688.717;288.540.943;18.659;20.231;16.954;28.382;30.091;26.186;20101231
AT1;AT13;AT130;90600;.;460.234.476;267.019.737;193.214.739;22.083;24.979;19.145;34.072;37.812;29.560;20101231
AT1;AT13;AT130;90700;.;501.999.987;284.273.956;217.726.031;22.694;25.755;19.758;34.824;38.082;31.064;20101231
AT1;AT13;AT130;90800;.;379.861.056;216.108.424;163.752.632;23.247;26.591;20.061;36.454;40.208;32.181;20101231
AT1;AT13;AT130;90900;.;622.976.885;357.437.003;265.539.882;22.324;25.517;19.225;35.498;39.431;31.000;20101231
AT1;AT13;AT130;91000;.;2.016.442.240;1.196.031.990;820.410.250;18.186;19.828;16.298;25.772;27.142;23.779;20101231
AT1;AT13;AT130;91100;.;1.148.166.095;682.534.302;465.631.793;18.780;20.685;16.630;25.709;27.131;23.607;20101231
AT1;AT13;AT130;91200;.;1.054.127.352;612.207.646;441.919.706;18.695;20.333;16.884;27.134;28.579;25.138;20101231
